id,text
1,法人ではなく、消費者と直接相対するような営業である
2,営業よりもカウンターセールスや販売職の方が近い
3,上場会社や大企業、有名な企業、聞いたことのある企業である
4,新しい出会いは少ないが、特定の顧客をずっと担当できる環境である
5,独創的で革新的な技術やプロダクトを通じて社会貢献や業界の変革を目指している
6,目標やノルマの管理が厳しくない会社である
7,残業少なめ、完全週休二日、休日出勤ナシ
8,社長のメッセージや会社のビジョンに共感できる
9,若いうちから裁量権と責任を持った仕事ができる
10,転職を通じて年収アップが見込める会社である
11,不動産や保険、自動車、結婚のような個人の人生に大きく関わる仕事
12,就職ランキングで見たことのあるような会社である
13,有給取得率が高い、育休産休制度が充実している
14,急成長しているベンチャー企業である。ベンチャー企業のような社風である
15,ベースの給与が比較的高い
16,大きな企業で営業を学んでみたい
17,新規顧客獲得のための営業はほとんどない
18,ライフワークバランスをすごく重視している会社である
19,日々日々の仕事や環境に変化があって、その変化を楽しめる
20,今は小さくても将来性や可能性を強く感じる会社である
21,今回の転職を通じてキャリアアップをしたいと考えている
